pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
3322284420616263,SLANE,2.0,XLS11-FM,XLS11-FM,60V1500W,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ZASTĘPCZA,2017,FABRYCZNY,2017-12-13,2017-12-13,,,0.0155,1.5,,97.0,,247.0,,,,,2.0,,,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,N,,72010001000001.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,BEMOWO,,,,2017-12-13,2019-03-15,2019-03-15,,14,,
8900753660318197,BMW I,13.0,BMWI-1,I3,7Z21,0AW40000,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2019-03-28,2019-03-28,,,,125.0,,1245.0,,1670.0,1670.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,BAYERISCHE MOTOREN WERKE AG,71470000000026.0,,1576.0,1573.0,1571.0,,1.0,301000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2019-03-28,2019-04-08,2019-04-08,,14,,
61762095306542,RUNUNION,2.0,,QUAND PIETREK,,,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2006,FABRYCZNY,2007-07-16,2007-07-16,,0.0,0.0057,0.5,,87.0,,162.0,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,ENERGIA ELEKTRYCZNA,,,,,,N,,,T,,,,,,,,,,,,,MAZOWIECKIE,GRODZISKI,GRODZISK MAZOWIECKI,MAZOWIECKIE,GRODZISKI,GRODZISK MAZOWIECKI,2007-07-16,2019-03-15,2019-03-15,14.0,14,,
5358018599300321,VOLTA,2.0,XLS11-FM,XLS11-FM,60V1500W,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2018-08-07,2018-08-07,,,0.0155,1.5,,97.0,,247.0,,,,,2.0,,,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,"WUXI JIETONG AUTOCYCLE CO., LTD.",75710001000001.0,,,,,,9.0,1.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2018-08-07,2019-03-15,2019-03-15,,14,,
5823171619378632,YADEA,2.0,YD1200D-01,---,YD1200D-01-D,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ZASTĘPCZA,2015,FABRYCZNY,2017-12-20,2017-12-20,,,0.0121,1.2,,99.0,,249.0,,,,,2.0,,,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,N,"YADEA TECHNOLOGY GROUP CO., LTD.",72040001000002.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,OTWOCKI,OTWOCK,,,,2017-12-20,2019-03-15,2019-03-15,,14,,
2454668166002134,BMW I,13.0,BMWI-1,I3S,7Z61,0AW40000,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2018-06-27,2018-06-27,,,,135.0,,1265.0,,1700.0,1700.0,,,,2.0,,,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,BAYERISCHE MOTOREN WERKE AG,71470000000028.0,,1592.0,1589.0,1586.0,,1.0,301000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2018-06-27,2019-03-15,2019-03-15,,14,,
5239482637473,BMW I,13.0,BMWI-1,,1Z21,0A040000,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2014.0,FABRYCZNY,2014-05-14,2019-07-05,,,,,,1195.0,,1620.0,1620.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,BAYERISCHE MOTOREN WERKE AG,71470000000029.0,,,,,,1.0,301000.0,,,,MAZOWIECKIE,WARSZAWA,ŚRÓDMIEŚCIE,,,,2014-05-14,2019-07-09,2019-10-01,,14,,
3964305007781387,BMW I,13.0,BMWI-1,I3,7Z21,0AW40000,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2019-03-21,2019-03-21,,,,125.0,,1245.0,,1670.0,1670.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,BAYERISCHE MOTOREN WERKE AG,71470000000026.0,,1576.0,1573.0,1571.0,,1.0,301000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2019-03-21,2019-04-08,2019-04-08,,14,,
6017163629628224,,2.0,JY-ES056,JY-ES056,00,00,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2019,FABRYCZNY,2019-07-22,2019-07-22,,,0.7302,46.0,,63.0,,209.0,,,,,2.0,1.0,1.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,"UK JINYI MOTOR CO., LTD",104060000000001.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-07-22,2019-08-17,2019-10-01,,14,,
2365467642546536,MERCEDES-BENZ,13.0,204 X,EQC 400 4MATIC,YNE0Z1,ZZAC050A,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2019,FABRYCZNY,2019-09-23,2019-09-23,,,,300.0,,2480.0,,2940.0,2940.0,,,4840.0,2.0,16.0,16.0,1800.0,750.0,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,DAIMLER AG,3472510000003.0,,,,,,1.0,303000.0,,,,MAZOWIECKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-09-23,2019-09-30,2019-09-30,,14,,
