pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
52208502983148,NISSAN,13.0,,LEAF,,,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2016,FABRYCZNY,2016-05-31,2016-05-31,,,,80.0,,1470,,1945.0,1945.0,500.0,,1970.0,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,,T,,,,1530.0,1527.0,1525.0,,,,2017-03-07,WYWOZU POJAZDU Z KRAJU   ,2017-10-17,DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,2016-05-31,2019-03-15,2019-03-15,2.0,2,,
29088594880841,POLSKI FIAT,,,126P 650,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1986,FABRYCZNY,1987-01-02,2001-09-10,,650.0,0.0,0.0,,600,,920.0,0.0,0.0,,0.0,0.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,DZIERŻONIÓW,DOLNOŚLĄSKIE,DZIERŻONIOWSKI,ŁAGIEWNIKI,1987-01-02,2019-03-15,2019-03-15,2.0,2,,
72008869329730,VOLKSWAGEN,,,19E,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1987,FABRYCZNY,1989-09-14,2001-01-18,,1600.0,,,,920,,1430.0,,,,,,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,ŚREDZKI,ŚRODA ŚLĄSKA,DOLNOŚLĄSKIE,ŚREDZKI,UDANIN,1989-09-14,2019-03-15,2019-03-15,2.0,2,,
26754641488949,VOLKSWAGEN,,,JETTA 1.6D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1981,FABRYCZNY,1989-09-28,2003-12-30,,1588.0,,0.0,,950,,1470.0,,0.0,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,SYCÓW,1989-09-28,2019-03-15,2019-03-15,2.0,2,,
3359483295355447,NISSAN,13.0,ZE1,LEAF,A,A02,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2018-12-06,2018-12-06,,,,110.0,,1505,,1995.0,1995.0,,,1995.0,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,NISSAN INTERNATIONAL S.A.,2640144000012.0,,1515.0,1515.0,1515.0,,1.0,306000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2018-12-06,2019-03-15,2019-03-15,,2,,
3514062301908687,NISSAN,13.0,ZE1,LEAF,A,A02,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2019-08-21,2019-08-21,,,,110.0,,1505,,1995.0,1995.0,,,1995.0,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1280.0,N,,N,B,NISSAN INTERNATIONAL S.A.,2640144000012.0,,2700.0,2700.0,2700.0,,1.0,306000.0,,,,DOLNOŚLĄSKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-08-21,2019-08-24,2019-10-01,,2,,
57571558572388,BMW,11111111.0,---,I3,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,FABRYCZNY,2016,2016-08-01,2019-10-31,,,,75.0,,1245,,1670.0,1670.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,,2160278000000.0,,1576.0,1573.0,1571.0,,9.0,3.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2016-08-01,2019-11-09,2019-11-09,,2,,
96275278357480,TOYOTA,11111111.0,---,AURIS,---,---,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2017,FABRYCZNY,2017-04-21,2018-05-28,,1798.0,,73.0,18.0,1310,,1815.0,1815.0,,,1815.0,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,3.6,,1282.0,N,,N,N,TOYOTA MOTOR EUROPE NV/SA,2650079000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2017-04-21,2019-03-15,2019-03-15,,2,82.0,
46343046234535,NISSAN,,,SUNNY 1.7D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1988,FABRYCZNY,1998-11-09,1999-09-30,,1681.0,,,,1020,,1510.0,,,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,SYCÓW,1998-11-09,2019-03-15,2019-03-15,2.0,2,,
3218034720432024,NISSAN,11111111.0,---,LEAF,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2012,FABRYCZNY,2012-10-29,2019-08-06,2012-10-29,,,80.0,,1600,,1965.0,1965.0,,,,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,B,,2640144000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-08-06,2019-08-17,2019-10-01,,2,,
5348893676606081,VOLKSWAGEN,13.0,AU,GOLF,GAC4EAZAX0,FA1FA1MD001E0GA0N1ML01VR0N0,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,FABRYCZNY,2019,2019-10-21,2019-10-21,,,,100.0,,1562,,2020.0,2020.0,,,,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,VOLKSWAGEN AG,2170020010154.0,,1533.0,1518.0,1503.0,,1.0,303000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2019-10-21,2019-10-26,2019-10-26,,2,,
31422102031594,TOYOTA,,,CARINA II 2.,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1988,FABRYCZNY,1988-02-07,1999-09-30,,1974.0,,,,1100,,1615.0,,,,,,9.0,9.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,SYCÓW,1988-02-07,2019-03-15,2019-03-15,2.0,2,,
7157783234902,,,,125PN,,,SAMOCHÓD OSOBOWY,INNY,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1990,FABRYCZNY,1990-01-08,2003-05-16,,1481.0,0.0,0.0,,1100,,1540.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,2006-10-12,ZNISZCZENIE POJAZDU ZA GRANICĄ   ,2017-10-17,DOLNOŚLĄSKIE,ŚREDZKI,ŚRODA ŚLĄSKA,DOLNOŚLĄSKIE,ŚREDZKI,KOSTOMŁOTY,1990-01-08,2019-03-15,2019-03-15,2.0,2,,
95731558800622,MERCEDES,,,200 D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1976,FABRYCZNY,1976-12-31,1999-09-30,,1997.0,,,,1380,,1850.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,,,,1976-12-31,2019-04-08,2019-04-08,,2,,
73389232607103,MIA,,---,,---,---,SAMOCHÓD OSOBOWY,KOMBI,---,UŻYW. IMPORT INDYW,ORYGINALNA,2012,FABRYCZNY,2012-05-11,2017-07-06,2012-05-11,,,10.0,,839,,1044.0,1044.0,,,,2.0,7.0,7.0,,,3.0,3.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,69350001000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2017-07-06,2019-07-09,2019-10-01,,2,,
